,,,,개시일,12월 18일,,,,,,,,,,,,,,,,,,,
,,,2.2 산출물 + EPAS 제품에 대한 글로벌 장애 case 등 사례 발표 및 discussing,,,,,TAM,,,,,,,,,,,,,,,,
,,7.2 EPAS 교육(운영자/개발자),,,,,,,,,,,,,,,,,,,,,,
,,,EPAS 제품관련 운영자/개발자 교육 진행,,,,,PS,교육 문서,,,,,,,,,,,,,,,
8. 서비스 오픈 및 안정화,8 서비스 Cutover & 모니터링,,,,,,,,,,,,,,,,,,,,,,,
,,8.1 서비스 Cutover,,,,,,,,,,,,,,,,,,,,,,
,,,Application Down 및 세션 종료 확인,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,데이터 동기화 확인 및 데이터 검증 후 CDC 종료 ,,,,,XLOG / AUTOEVER,,,,,,,,,,,,,,,,
,,,AS-IS DB Down,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,Application 기동,,,,,AUTOEVER,,,,,,,,,,,,,,,,
,,,서비스 정상 여부 체크 및 모니터링,,,,,AUTOEVER / RP / PS,,,,,,,,,,,,,,,,
,,,서비스 정상 시작 및 모니터링,,,,,AUTOEVER / RP / PS,,,,,,,,,,,,,,,,
,,8.1.1 서비스 모니터링,,,,,,,,,,,,,,,,,,,,,,
,,,서비스 Cutover 후 발생하는 이슈 대응 및 모니터링,,,,,PS / RP / AUTOEVER,,,,,,,,,,,,,,,,
